Family,Species,Individual,Timing,N family level,P family level,Na family level,Principal host family,Sex,avg eye width,Wing Length
Nymphalidae,Adelpha_bredowii,218,Recent,1.66129,0.115029,0.02668,Fagaceae,male,1.279469,3.529195
Nymphalidae,Adelpha_bredowii,219,Recent,1.66129,0.115029,0.02668,Fagaceae,female,1.3023365,3.69128
Nymphalidae,Adelpha_bredowii,220,Recent,1.66129,0.115029,0.02668,Fagaceae,female,1.258122,3.551067
Nymphalidae,Adelpha_bredowii,221,Recent,1.66129,0.115029,0.02668,Fagaceae,male,1.2917235,3.265978
Nymphalidae,Adelpha_bredowii,222,Recent,1.66129,0.115029,0.02668,Fagaceae,male,1.212219,2.942807
Nymphalidae,Adelpha_bredowii,223,Recent,1.66129,0.115029,0.02668,Fagaceae,female,1.320538,3.651373
Nymphalidae,Adelpha_bredowii,224,Recent,1.66129,0.115029,0.02668,Fagaceae,male,1.3166825,3.236069
Nymphalidae,Adelpha_bredowii,225,Recent,1.66129,0.115029,0.02668,Fagaceae,female,1.241868,3.746907
Hesperidae,Agathymus_stephensi,348,Ancient,2.62101,0.280253,0.04079,Asparagaceae,female,1.0893755,2.477
Hesperidae,Agathymus_stephensi,349,Ancient,2.62101,0.280253,0.04079,Asparagaceae,male,1.1424145,2.254
Hesperidae,Agathymus_stephensi,350,Ancient,2.62101,0.280253,0.04079,Asparagaceae,male,1.1722935,2.25
Hesperidae,Agathymus_stephensi,351,Ancient,2.62101,0.280253,0.04079,Asparagaceae,female,1.1745785,2.634
Hesperidae,Agathymus_stephensi,352,Ancient,2.62101,0.280253,0.04079,Asparagaceae,female,1.0738575,2.62
Hesperidae,Agathymus_stephensi,353,Ancient,2.62101,0.280253,0.04079,Asparagaceae,male,1.158634,2.338
Nymphalidae,Aglais_milberti,242,Ancient,3.41997,0.326043,0.50953,Urticaceae,male,0.807541,2.181147
Nymphalidae,Aglais_milberti,243,Ancient,3.41997,0.326043,0.50953,Urticaceae,female,0.8269435,2.3878
Nymphalidae,Aglais_milberti,244,Ancient,3.41997,0.326043,0.50953,Urticaceae,female,0.818326,2.481284
Nymphalidae,Aglais_milberti,245,Ancient,3.41997,0.326043,0.50953,Urticaceae,male,0.875541,2.18897
Nymphalidae,Aglais_milberti,246,Ancient,3.41997,0.326043,0.50953,Urticaceae,male,0.852631,2.356582
Nymphalidae,Aglais_milberti,247,Ancient,3.41997,0.326043,0.50953,Urticaceae,female,0.929785,2.353869
Nymphalidae,Aglais_milberti,248,Ancient,3.41997,0.326043,0.50953,Urticaceae,female,0.823859,2.617
Nymphalidae,Agraulis_vanillae,207,Ancient,3.1027,0.131691,0.57705,Passifloraceae,female,1.2980515,3.928865
Nymphalidae,Agraulis_vanillae,208,Ancient,3.1027,0.131691,0.57705,Passifloraceae,male,1.4245015,3.620458
Nymphalidae,Agraulis_vanillae,209,Ancient,3.1027,0.131691,0.57705,Passifloraceae,female,1.326488,3.925211
Nymphalidae,Agraulis_vanillae,210,Ancient,3.1027,0.131691,0.57705,Passifloraceae,male,1.3151695,3.206138
Nymphalidae,Agraulis_vanillae,211,Ancient,3.1027,0.131691,0.57705,Passifloraceae,female,1.178259,3.444585
Nymphalidae,Agraulis_vanillae,212,Ancient,3.1027,0.131691,0.57705,Passifloraceae,male,1.289926,3.286474
Nymphalidae,Agraulis_vanillae,213,Ancient,3.1027,0.131691,0.57705,Passifloraceae,male,1.368556,3.833884
Nymphalidae,Agraulis_vanillae,214,Ancient,3.1027,0.131691,0.57705,Passifloraceae,male,1.262989,3.519468
Nymphalidae,Agraulis_vanillae,215,Ancient,3.1027,0.131691,0.57705,Passifloraceae,male,1.453743,3.832029
Nymphalidae,Agraulis_vanillae,216,Ancient,3.1027,0.131691,0.57705,Passifloraceae,female,1.4794285,3.841289
Nymphalidae,Agraulis_vanillae,217,Ancient,3.1027,0.131691,0.57705,Passifloraceae,female,1.3976175,3.770408
Nymphalidae,Anaea_andria,191,Ancient,2.32015,0.165018,0.13081,Euphorbiaceae,female,1.0937595,3.24544
Nymphalidae,Anaea_andria,192,Ancient,2.32015,0.165018,0.13081,Euphorbiaceae,female,1.148032,3.411538
Nymphalidae,Anaea_andria,193,Ancient,2.32015,0.165018,0.13081,Euphorbiaceae,female,1.109632,3.643581
Nymphalidae,Anaea_andria,194,Ancient,2.32015,0.165018,0.13081,Euphorbiaceae,male,1.1816245,2.926185
Nymphalidae,Anaea_andria,195,Ancient,2.32015,0.165018,0.13081,Euphorbiaceae,female,1.086435,3.407097
Nymphalidae,Anaea_andria,196,Ancient,2.32015,0.165018,0.13081,Euphorbiaceae,male,1.1073405,3.087059
Nymphalidae,Anaea_andria,197,Ancient,2.32015,0.165018,0.13081,Euphorbiaceae,male,1.2201025,3.094611
Nymphalidae,Anaea_andria,198,Ancient,2.32015,0.165018,0.13081,Euphorbiaceae,female,1.007194,3.243315
Hesperidae,Ancyloxypha_numitor,483,Ancient,1.77674,0.159897,0.0395,Poaceae,NA,0.6613,1.204827
Hesperidae,Ancyloxypha_numitor,484,Ancient,1.77674,0.159897,0.0395,Poaceae,NA,0.501172,1.032523
Hesperidae,Ancyloxypha_numitor,485,Ancient,1.77674,0.159897,0.0395,Poaceae,male,,1.038719
Hesperidae,Ancyloxypha_numitor,486,Ancient,1.77674,0.159897,0.0395,Poaceae,male,0.6437205,1.215803
Hesperidae,Ancyloxypha_numitor,487,Ancient,1.77674,0.159897,0.0395,Poaceae,female,0.601149,1.365095
Hesperidae,Ancyloxypha_numitor,488,Ancient,1.77674,0.159897,0.0395,Poaceae,male,0.6142345,1.034116
