Family,Species,Individual,Timing,N family level,P family level,Na family level,Principal host family,Sex,Wing length,Number of mature eggs,Genitalia area
Nymphalidae,Adelpha_bredowii,292,Recent,1.66129,0.115029,0.02668,Fagaceae,F,4.55373,12,1.901222
Nymphalidae,Adelpha_bredowii,293,Recent,1.66129,0.115029,0.02668,Fagaceae,F,4.938946,9,2.585705
Nymphalidae,Adelpha_bredowii,630,Recent,1.66129,0.115029,0.02668,Fagaceae,F,3.85028,,
Nymphalidae,Adelpha_bredowii,290,Recent,1.66129,0.115029,0.02668,Fagaceae,M,4.078792,,1.521296
Nymphalidae,Adelpha_bredowii,291,Recent,1.66129,0.115029,0.02668,Fagaceae,M,4.082369,,2.681767
Nymphalidae,Adelpha_bredowii,294,Recent,1.66129,0.115029,0.02668,Fagaceae,M,3.982064,,1.316992
Nymphalidae,Adelpha_bredowii,629,Recent,1.66129,0.115029,0.02668,Fagaceae,M,3.330342,,1.614803
Nymphalidae,Adelpha_bredowii,642,Recent,1.66129,0.115029,0.02668,Fagaceae,M,3.528361,,1.166491
Nymphalidae,Adelpha_bredowii,643,Recent,1.66129,0.115029,0.02668,Fagaceae,M,3.380384,,
Nymphalidae,Aglais_milberti,467,Ancient,3.41997,0.326043,0.50953,Urticaceae,M,2.625546,,
Nymphalidae,Aglais_milberti,468,Ancient,3.41997,0.326043,0.50953,Urticaceae,M,2.42785,,
Nymphalidae,Aglais_milberti,469,Ancient,3.41997,0.326043,0.50953,Urticaceae,M,2.364702,,
Nymphalidae,Aglais_milberti,470,Ancient,3.41997,0.326043,0.50953,Urticaceae,M,2.25454,,
Nymphalidae,Agraulis_vanillae,659,Ancient,3.1027,0.131691,0.57705,Passifloraceae,F,4.033864,11,
Nymphalidae,Agraulis_vanillae,661,Ancient,3.1027,0.131691,0.57705,Passifloraceae,F,3.615314,47,
Nymphalidae,Agraulis_vanillae,663,Ancient,3.1027,0.131691,0.57705,Passifloraceae,F,3.664105,47,
Nymphalidae,Agraulis_vanillae,664,Ancient,3.1027,0.131691,0.57705,Passifloraceae,F,3.542668,39,
Nymphalidae,Agraulis_vanillae,665,Ancient,3.1027,0.131691,0.57705,Passifloraceae,F,4.038646,69,
Nymphalidae,Agraulis_vanillae,667,Ancient,3.1027,0.131691,0.57705,Passifloraceae,F,3.935535,46,
Nymphalidae,Agraulis_vanillae,668,Ancient,3.1027,0.131691,0.57705,Passifloraceae,F,3.632372,30,
Nymphalidae,Agraulis_vanillae,660,Ancient,3.1027,0.131691,0.57705,Passifloraceae,M,3.539593,,
Nymphalidae,Agraulis_vanillae,662,Ancient,3.1027,0.131691,0.57705,Passifloraceae,M,3.708935,,
Nymphalidae,Agraulis_vanillae,666,Ancient,3.1027,0.131691,0.57705,Passifloraceae,M,3.606376,,
Hesperiidae,Ancyloxypha_numitor,383,Ancient,1.77674,0.159897,0.0395,Poaceae,F,1.143732,30,
Hesperiidae,Ancyloxypha_numitor,384,Ancient,1.77674,0.159897,0.0395,Poaceae,F,1.255655,27,0.264319
Hesperiidae,Ancyloxypha_numitor,385,Ancient,1.77674,0.159897,0.0395,Poaceae,F,1.097182,17,0.276564
Hesperiidae,Ancyloxypha_numitor,380,Ancient,1.77674,0.159897,0.0395,Poaceae,M,1.153847,,0.22808
Hesperiidae,Ancyloxypha_numitor,381,Ancient,1.77674,0.159897,0.0395,Poaceae,M,1.12307,,0.387931
Hesperiidae,Ancyloxypha_numitor,382,Ancient,1.77674,0.159897,0.0395,Poaceae,M,1.136426,,0.259415
Hesperiidae,Ancyloxypha_numitor,386,Ancient,1.77674,0.159897,0.0395,Poaceae,M,1.334093,,0.2356259
Hesperiidae,Ancyloxypha_numitor,430,Ancient,1.77674,0.159897,0.0395,Poaceae,M,0.948105,,0.38926
